title,content,source,topic,publication_date,label
"Kemenkes Mengingatkan Pentingnya Cuci Tangan","Kementerian Kesehatan mengingatkan masyarakat untuk mencuci tangan dengan sabun sebagai salah satu cara mencegah penyebaran penyakit. Kebiasaan ini penting dilakukan sebelum makan, setelah menggunakan toilet, dan setelah beraktivitas di luar rumah. Imbauan tersebut merupakan bagian dari edukasi kesehatan masyarakat yang disampaikan secara berkala.","Kemenkes","Health","2026-06-12","Tidak Hoax"
"Pemerintah Mengumumkan Jadwal Libur Nasional","Pemerintah mengumumkan jadwal libur nasional melalui keputusan resmi yang dapat diakses masyarakat. Informasi ini digunakan sebagai acuan bagi instansi, sekolah, perusahaan, dan masyarakat umum. Pemerintah mengimbau masyarakat memeriksa sumber resmi agar tidak keliru mengikuti jadwal libur yang beredar tidak jelas di media sosial.","Government Website","Government","2026-06-13","Tidak Hoax"
"Bank Indonesia Menyampaikan Informasi Inflasi","Bank Indonesia menyampaikan informasi perkembangan inflasi berdasarkan data ekonomi yang dirilis secara berkala. Informasi ini membantu masyarakat memahami kondisi harga barang dan jasa di tingkat nasional maupun daerah. Bank Indonesia juga menjelaskan bahwa pengendalian inflasi dilakukan melalui koordinasi dengan pemerintah dan pihak terkait.","Bank Indonesia","Economy","2026-06-14","Tidak Hoax"
"Kominfo Mengajak Masyarakat Memeriksa Fakta Sebelum Membagikan Informasi","Kominfo mengajak masyarakat memeriksa kebenaran informasi sebelum membagikannya melalui media sosial atau aplikasi pesan. Pemeriksaan dapat dilakukan dengan melihat sumber, tanggal, konteks, dan klarifikasi dari lembaga resmi. Langkah ini penting untuk mencegah penyebaran hoaks yang dapat menimbulkan kepanikan publik.","Kominfo","Technology","2026-06-15","Tidak Hoax"
"Universitas Mengumumkan Pembukaan Pendaftaran Beasiswa","Universitas mengumumkan pembukaan pendaftaran beasiswa melalui laman resmi dan sistem informasi akademik kampus. Mahasiswa diminta membaca persyaratan, jadwal, dan dokumen yang diperlukan sebelum mendaftar. Informasi terkait beasiswa hanya dianggap valid jika berasal dari kanal resmi universitas atau unit kemahasiswaan.","University Website","Education","2026-06-16","Tidak Hoax"
"BMKG Menjelaskan Penyebab Cuaca Ekstrem","BMKG menjelaskan bahwa cuaca ekstrem dapat dipengaruhi oleh dinamika atmosfer, suhu permukaan laut, dan pembentukan awan hujan. Masyarakat diminta memahami bahwa prakiraan cuaca dapat berubah sesuai kondisi terbaru. Informasi resmi BMKG perlu dijadikan rujukan utama dalam mengambil keputusan terkait aktivitas luar ruangan.","BMKG","Weather","2026-06-17","Tidak Hoax"
"Kemenkes Mengimbau Pemeriksaan Kesehatan Berkala","Kementerian Kesehatan mengimbau masyarakat melakukan pemeriksaan kesehatan berkala untuk mendeteksi risiko penyakit sejak dini. Pemeriksaan rutin dapat membantu tenaga medis memberikan penanganan lebih cepat jika ditemukan gejala tertentu. Masyarakat juga diminta menghindari diagnosis mandiri berdasarkan informasi yang tidak jelas sumbernya.","Kemenkes","Health","2026-06-18","Tidak Hoax"
"Pemerintah Daerah Mengumumkan Program Pelayanan Publik","Pemerintah daerah mengumumkan program pelayanan publik melalui situs resmi dan kanal komunikasi pemerintah daerah. Program tersebut bertujuan mempermudah masyarakat mengakses layanan administrasi dan informasi publik. Warga diimbau mengikuti prosedur resmi dan menghindari pihak yang menawarkan layanan tidak sah.","Government Website","Government","2026-06-19","Tidak Hoax"
"Portal Akademik Merilis Informasi KRS Mahasiswa","Portal akademik merilis informasi pengisian kartu rencana studi mahasiswa sesuai kalender akademik yang berlaku. Mahasiswa diminta berkonsultasi dengan dosen wali dan memastikan mata kuliah yang dipilih sesuai kurikulum. Informasi resmi terkait KRS hanya mengacu pada sistem akademik dan pengumuman program studi.","Academic Portal","Education","2026-06-20","Tidak Hoax"
"BMKG Memperbarui Informasi Potensi Hujan","BMKG memperbarui informasi mengenai potensi hujan di sejumlah wilayah Indonesia berdasarkan hasil pemantauan terbaru. Informasi tersebut digunakan sebagai acuan masyarakat dalam merencanakan aktivitas harian dan perjalanan. BMKG mengimbau masyarakat mengikuti pembaruan cuaca melalui kanal resmi.","BMKG","Weather","2026-06-21","Tidak Hoax"
"Bank Indonesia Menjelaskan Sistem Pembayaran Digital","Bank Indonesia menjelaskan perkembangan sistem pembayaran digital yang semakin banyak digunakan masyarakat. Edukasi diberikan agar masyarakat memahami manfaat, keamanan, dan risiko penggunaan layanan pembayaran elektronik. Informasi resmi tersedia melalui kanal komunikasi Bank Indonesia.","Bank Indonesia","Economy","2026-06-22","Tidak Hoax"
"Kemenkes Mengedukasi Pencegahan Penyakit Menular","Kementerian Kesehatan memberikan edukasi kepada masyarakat mengenai langkah pencegahan penyakit menular. Edukasi mencakup kebiasaan hidup bersih, vaksinasi, dan pemeriksaan kesehatan sesuai kebutuhan. Masyarakat diminta mengacu pada informasi resmi dari tenaga kesehatan.","Kemenkes","Health","2026-06-23","Tidak Hoax"
"Kominfo Menjelaskan Cara Mengenali Situs Resmi","Kominfo menjelaskan cara mengenali situs resmi untuk menghindari penipuan digital. Masyarakat disarankan memeriksa alamat situs, sertifikat keamanan, dan sumber informasi sebelum melakukan transaksi atau memberikan data pribadi.","Kominfo","Technology","2026-06-24","Tidak Hoax"
"Universitas Mengumumkan Jadwal Wisuda","Universitas mengumumkan jadwal wisuda melalui laman resmi kampus. Mahasiswa diminta memperhatikan jadwal pendaftaran, verifikasi berkas, dan ketentuan pelaksanaan kegiatan sesuai informasi resmi universitas.","University Website","Education","2026-06-25","Tidak Hoax"
"BMKG Menyampaikan Informasi Gempa Bumi Terkini","BMKG menyampaikan informasi gempa bumi yang terjadi di salah satu wilayah Indonesia. Informasi meliputi lokasi episentrum, magnitudo, dan kedalaman gempa berdasarkan hasil analisis resmi. Masyarakat diimbau tidak terpengaruh informasi yang belum terverifikasi.","BMKG","Weather","2026-06-26","Tidak Hoax"
"Pemerintah Merilis Informasi Bantuan Sosial","Pemerintah merilis informasi mengenai program bantuan sosial yang dapat diakses masyarakat sesuai ketentuan yang berlaku. Informasi resmi tersedia melalui situs pemerintah dan instansi terkait.","Government Website","Government","2026-06-27","Tidak Hoax"
"Kemenkes Mengingatkan Pentingnya Aktivitas Fisik","Kementerian Kesehatan mengingatkan masyarakat untuk melakukan aktivitas fisik secara rutin guna menjaga kesehatan tubuh. Aktivitas fisik yang cukup dapat membantu menjaga kebugaran dan menurunkan risiko berbagai penyakit.","Kemenkes","Health","2026-06-28","Tidak Hoax"
"Bank Indonesia Mengedukasi Keamanan Transaksi Online","Bank Indonesia mengedukasi masyarakat mengenai pentingnya menjaga keamanan transaksi online. Masyarakat diimbau tidak membagikan PIN, OTP, atau data perbankan kepada pihak lain.","Bank Indonesia","Economy","2026-06-29","Tidak Hoax"
"Kominfo Mengajak Pengguna Media Sosial Bijak Bermedia","Kominfo mengajak masyarakat untuk menggunakan media sosial secara bijak dan bertanggung jawab. Pengguna diminta memeriksa kebenaran informasi sebelum membagikannya kepada orang lain.","Kominfo","Technology","2026-06-30","Tidak Hoax"
"Sekolah Mengumumkan Jadwal Tahun Ajaran Baru","Pihak sekolah mengumumkan jadwal dimulainya tahun ajaran baru beserta agenda kegiatan orientasi peserta didik. Informasi resmi disampaikan melalui kanal komunikasi sekolah.","School Website","Education","2026-07-01","Tidak Hoax"
"BMKG Menjelaskan Fenomena Angin Kencang","BMKG menjelaskan fenomena angin kencang yang terjadi di beberapa wilayah berdasarkan hasil pengamatan meteorologi. Masyarakat diimbau berhati-hati terhadap potensi dampak yang ditimbulkan.","BMKG","Weather","2026-07-02","Tidak Hoax"
"Pemerintah Daerah Membuka Layanan Administrasi Digital","Pemerintah daerah memperkenalkan layanan administrasi digital untuk mempermudah masyarakat mengakses pelayanan publik. Warga dapat memperoleh informasi melalui situs resmi pemerintah daerah.","Government Website","Government","2026-07-03","Tidak Hoax"
"Kemenkes Menjelaskan Pentingnya Gizi Seimbang","Kementerian Kesehatan menjelaskan pentingnya gizi seimbang untuk mendukung kesehatan masyarakat. Edukasi diberikan melalui berbagai program kesehatan dan kampanye publik.","Kemenkes","Health","2026-07-04","Tidak Hoax"
"Bank Indonesia Mengumumkan Edukasi Literasi Keuangan","Bank Indonesia mengumumkan program edukasi literasi keuangan untuk meningkatkan pemahaman masyarakat mengenai pengelolaan keuangan yang baik.","Bank Indonesia","Economy","2026-07-05","Tidak Hoax"
"Kominfo Menyediakan Materi Edukasi Keamanan Siber","Kominfo menyediakan materi edukasi keamanan siber yang dapat diakses masyarakat secara gratis. Materi tersebut membahas keamanan akun, perlindungan data pribadi, dan pencegahan penipuan online.","Kominfo","Technology","2026-07-06","Tidak Hoax"
"Universitas Mengadakan Seminar Akademik Nasional","Universitas menyelenggarakan seminar akademik nasional yang menghadirkan pembicara dari berbagai institusi pendidikan. Informasi pendaftaran tersedia melalui laman resmi universitas.","University Website","Education","2026-07-07","Tidak Hoax"
"BMKG Mengingatkan Potensi Gelombang Tinggi","BMKG mengingatkan masyarakat pesisir mengenai potensi gelombang tinggi di beberapa wilayah perairan Indonesia. Nelayan dan operator transportasi laut diminta memperhatikan informasi cuaca terbaru.","BMKG","Weather","2026-07-08","Tidak Hoax"
"Pemerintah Mengumumkan Program Pelatihan Kerja","Pemerintah mengumumkan program pelatihan kerja untuk meningkatkan kompetensi masyarakat di berbagai bidang. Informasi resmi tersedia melalui kementerian terkait.","Government Website","Government","2026-07-09","Tidak Hoax"
"Kemenkes Mengajak Masyarakat Mengurangi Konsumsi Gula","Kementerian Kesehatan mengajak masyarakat mengurangi konsumsi gula berlebihan sebagai bagian dari upaya menjaga kesehatan dan mencegah penyakit tidak menular.","Kemenkes","Health","2026-07-10","Tidak Hoax"
"Bank Indonesia Menjelaskan Peran Inflasi Dalam Ekonomi","Bank Indonesia menjelaskan peran inflasi dalam perekonomian dan upaya menjaga stabilitas harga barang dan jasa melalui kebijakan yang diterapkan.","Bank Indonesia","Economy","2026-07-11","Tidak Hoax"
"Kominfo Menjelaskan Pentingnya Perlindungan Data Pribadi","Kominfo mengingatkan masyarakat untuk menjaga data pribadi dan tidak membagikannya kepada pihak yang tidak dikenal demi mengurangi risiko penyalahgunaan informasi.","Kominfo","Technology","2026-07-12","Tidak Hoax"
"Sekolah Mengadakan Kegiatan Literasi Digital","Sekolah menyelenggarakan kegiatan literasi digital untuk meningkatkan pemahaman siswa mengenai penggunaan teknologi secara aman dan bertanggung jawab.","School Website","Education","2026-07-13","Tidak Hoax"
"BMKG Menjelaskan Proses Terjadinya Hujan","BMKG memberikan edukasi mengenai proses terbentuknya hujan dan faktor-faktor yang memengaruhi kondisi cuaca di Indonesia.","BMKG","Weather","2026-07-14","Tidak Hoax"
"Pemerintah Mengumumkan Jadwal Seleksi ASN","Pemerintah mengumumkan jadwal pelaksanaan seleksi ASN melalui portal resmi yang dapat diakses oleh masyarakat sesuai ketentuan yang berlaku.","Government Website","Government","2026-07-15","Tidak Hoax"
"Kemenkes Menjelaskan Pentingnya Tidur Cukup","Kementerian Kesehatan menjelaskan bahwa tidur yang cukup berperan penting dalam menjaga kesehatan fisik dan mental serta meningkatkan kualitas hidup.","Kemenkes","Health","2026-07-16","Tidak Hoax"
"Bank Indonesia Mengajak Masyarakat Mengenali Investasi Legal","Bank Indonesia mengajak masyarakat mengenali karakteristik investasi legal dan mewaspadai penawaran investasi yang tidak memiliki izin resmi.","Bank Indonesia","Economy","2026-07-17","Tidak Hoax"
"Kominfo Menjelaskan Cara Melaporkan Konten Berbahaya","Kominfo menjelaskan langkah-langkah yang dapat dilakukan masyarakat untuk melaporkan konten berbahaya atau melanggar ketentuan di ruang digital.","Kominfo","Technology","2026-07-18","Tidak Hoax"
"Universitas Membuka Program Pertukaran Mahasiswa","Universitas membuka program pertukaran mahasiswa yang dapat diikuti oleh mahasiswa sesuai persyaratan yang ditetapkan oleh kampus.","University Website","Education","2026-07-19","Tidak Hoax"
"BMKG Mengedukasi Masyarakat Mengenai Mitigasi Bencana","BMKG mengedukasi masyarakat mengenai langkah mitigasi bencana yang dapat dilakukan sebelum, saat, dan setelah terjadi bencana alam untuk mengurangi risiko dan dampak yang ditimbulkan.","BMKG","Weather","2026-07-20","Tidak Hoax"
